male,female,total
45.916,43.474,89.39
44.88,42.87,87.75
42.327,40.6,82.927
38.671,36.537,75.208
36.66,35.223,71.883
35.589,34.473,70.062
34.305,32.532,66.837
34.883,33.234,68.117
29.456,27.586,57.042
25.4,24.081,49.481
23.994,23.407,47.401
22.174,21.862,44.036
16.526,17.634,34.16
10.779,12.18,22.959
6.927,8.49,15.417
3.265,4.951,8.216
1.611,2.44,4.051
0.513,0.709,1.222
0.126,0.131,0.257
0.015,0.011,0.026
0.001,0.001,0.002
