male,female,total
134.065,124.111,258.176
113.785,107.076,220.861
123.017,117.608,240.625
136.872,128.297,265.169
219.32,178.217,397.537
238.248,197.273,435.521
230.476,204.201,434.677
237.814,224.124,461.938
245.431,227.84,473.271
259.745,231.857,491.602
248.653,217.758,466.411
259.893,219.918,479.811
238.777,204.854,443.631
189.395,166.299,355.694
90.151,100.077,190.228
44.139,55.267,99.406
30.745,42.636,73.381
15.018,25.481,40.499
5.434,11.547,16.981
1.126,3.047,4.173
0.153,0.598,0.751
