male,female,total
7.771,7.389,15.16
7.479,6.824,14.303
6.83,6.608,13.438
5.19,5.004,10.194
5.467,5.43,10.897
4.844,4.783,9.627
4.364,4.697,9.061
3.591,3.952,7.543
2.973,3.267,6.24
2.336,2.597,4.933
2.523,2.909,5.432
2.162,2.394,4.556
1.37,1.658,3.028
0.876,1.237,2.113
0.555,0.907,1.462
0.263,0.605,0.868
0.103,0.27,0.373
0.038,0.11,0.148
0.009,0.047,0.056
0.0,0.012,0.012
0.0,0.002,0.002
