male,female,total
231.28,220.549,451.829
222.436,210.68,433.116
209.997,199.672,409.669
216.791,208.407,425.198
246.246,237.94,484.186
281.46,274.083,555.543
301.576,295.996,597.572
312.034,309.618,621.652
287.248,283.607,570.855
299.517,296.216,595.733
341.873,334.883,676.756
324.282,319.584,643.866
270.397,265.426,535.823
215.755,225.857,441.612
201.943,219.576,421.519
151.943,178.531,330.474
98.229,130.571,228.8
55.737,89.061,144.798
20.518,46.95,67.468
4.076,12.378,16.454
0.31,1.385,1.695
