male,female,total
127.621,125.892,253.513
112.635,112.6,225.235
105.394,106.477,211.871
108.485,108.465,216.95
102.782,101.141,203.923
96.776,94.493,191.269
90.607,84.139,174.746
80.767,71.768,152.535
63.047,56.426,119.473
45.385,45.393,90.778
34.316,40.383,74.699
28.707,37.365,66.072
22.494,32.676,55.17
16.281,25.362,41.643
11.49,18.198,29.688
6.428,12.193,18.621
2.77,7.544,10.314
0.833,3.729,4.562
0.122,0.943,1.065
0.009,0.105,0.114
0.001,0.01,0.011
