COUNTRY,CONFIRMED,DEATHS,CASE-FATALITY,DEATHS/100K POP.
Uganda,164069,3597,0.022,8.13
Cameroon,119780,1927,0.016,7.45
Haiti,30615,835,0.027,7.41
Papua New Guinea,43669,649,0.015,7.4
Yemen,11818,2148,0.182,7.37
Mozambique,225345,2201,0.01,7.25
Republic of the Congo,24079,385,0.016,7.16
Ethiopia,470352,7510,0.016,6.7
Samoa,6794,13,0.002,6.6
Angola,99287,1900,0.019,5.97
Liberia,7432,294,0.04,5.95
Madagascar,64121,1391,0.022,5.16
Uzbekistan,238367,1637,0.007,4.87
Ghana,161117,1445,0.009,4.75
Mali,30691,730,0.024,3.71
Taiwan,40186,856,0.021,3.6
Nicaragua,18491,233,0.013,3.56
Guinea,36540,441,0.012,3.45
Togo,36971,273,0.007,3.38
Côte d'Ivoire,81870,799,0.01,3.11
Bhutan,55606,19,0,2.49
Central African Republic,14649,113,0.008,2.38
Vanuatu,6458,7,0.001,2.33
Burkina Faso,20865,383,0.018,1.88
Sierra Leone,7681,125,0.016,1.6
Nigeria,255670,3143,0.012,1.56
Democratic Republic of the Congo,87023,1337,0.015,1.54
Tanzania,33864,803,0.024,1.38
Benin,26952,163,0.006,1.38
Tajikistan,17786,125,0.007,1.34
Niger,8903,308,0.035,1.32
South Sudan,17420,138,0.008,1.25
Chad,7396,193,0.026,1.21
China,1892953,13841,0.007,0.99
Burundi,38812,38,0.001,0.33
Eritrea,9733,103,0.011,nan
