male,female,total
580.904,577.747,1158.651
534.486,532.748,1067.234
496.964,495.355,992.319
438.908,435.969,874.877
378.242,375.779,754.021
328.581,322.912,651.493
281.481,272.412,553.893
236.247,226.91,463.157
189.857,183.262,373.119
150.419,149.356,299.775
116.214,120.179,236.393
87.252,95.488,182.74
62.38,73.419,135.799
43.161,55.065,98.226
29.315,39.024,68.339
16.678,23.792,40.47
7.283,11.291,18.574
2.312,3.952,6.264
0.488,0.938,1.426
0.062,0.136,0.198
0.005,0.012,0.017
