location,lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
Belize,belize,0.072040108,16.426,25,7824.362,397621,3.069913,110.5188,9.979938,-1,424.2476,64.99726,84.49918,68.63948,57.16757,92.12999,1.102301,276.7439,11.02664,4.249364,0.231767,25.68108,106.0045,81.15377,2.167661,13.53713,72.26009,5.004423,67.45491,11.44365,-1,11.43052,0.913294,11.16891,27.9387,-1,125.5473,2.250607
Benin,benin,0.028950299,99.11,18.8,2064.236,12123198,1716.15,7564.605,1321.51,-1,9221.487,1160.266,1291.579,1982.732,1269.5,2629.044,201.0978,5433.536,183.9191,259.7315,9432.991,420.349,578.354,1809.785,97.86706,2889.76,3092.978,1133.48,9626.957,129.3613,-1,6383.252,116.5962,1375.011,693.7123,13,1216.14,109.6341
Bhutan,bhutan,0.094198699,21.188,28.6,8708.597,771612,19.5437,179.7311,4.956438,-1,1156.494,124.772,135.9428,446.3039,156.9009,254.8409,20.15742,488.2756,21.73409,9.832589,18.28355,23.16803,9.638659,81.33975,4.354535,65.26009,70.3381,28.51316,204.6556,12.69306,-1,132.467,2.189546,8.600221,49.03322,-1,120.6678,2.688765
Bolivia,bolivia,0.068454294,10.202,25.4,6885.829,11673029,167.9998,5359.621,568.7989,-1,15274.84,2650.847,3165.191,3121.973,2215.415,4077.543,55.15516,12195.4,478.1173,185.3651,5.033977,429.2483,684.6402,1167.194,148.3639,1145.358,2127.874,463.7291,2825.608,304.3446,-1,555.9781,67.8349,641.4933,668.2485,-1,2902.74,94.19796
Bosnia and Herzegovina,bosnia and herzegovina,0.129592825,68.496,42.5,11713.895,3280815,11.73802,359.5948,2.029116,-1,18107.32,1990.592,604.3614,1310.164,577.3928,1135.888,6.565942,8950.336,324.0631,40.81104,-1,35.31808,82.78754,1.53589,28.55672,134.6529,268.6221,1.972577,87.24935,112.5237,-1,8.64788,3.764758,6.120283,311.5861,-1,2293.101,20.27381
Botswana,botswana,0.059354422,4.044,25.8,15807.374,2351625,71.14471,767.6998,78.08798,-1,2547.834,323.0651,264.1593,509.6386,187.4301,437.8331,7.782055,1486.819,35.50824,63.24871,5.637665,45.38614,182.0013,4101.619,26.13302,444.4798,298.5742,40.52496,435.6282,25.93958,-1,576.9031,11.71929,80.83075,200.1244,-1,668.3373,22.90364
Brazil,brazil,0.10196776,25.04,33.5,14103.452,212559409,2410.874,84073.16,6577.684,-1,388268.1,73418.97,35350.12,72745.68,36269.34,72555.89,1077.747,244969.3,9151.877,1684.3,58.47392,6398.778,63825.29,15405.92,2234.592,5612.978,46281.89,2053.963,21265,10837.26,14,6562.399,299.0058,7197.332,14145.05,-1,56473.55,386.9975
Brunei,brunei,0.103000392,81.347,32.4,71809.251,437483,2.793419,91.37922,0.30475,-1,506.3848,51.4918,70.26507,97.23683,24.51925,53.46678,5.057587,482.3003,10.08476,6.053206,-1,18.79672,6.393474,4.664545,3.017177,17.68061,67.77912,3.474195,21.28855,1.577658,-1,2.597126,0.813769,0.891484,27.43355,-1,167.9382,1.905353
Bulgaria,bulgaria,0.130958549,65.18,44.7,18563.307,6948445,48.96148,1548.602,3.925073,-1,65619.13,5945.339,1446.605,3299.2,2043.046,3542.792,24.3454,18734.25,831.4726,109.2567,-1,144.7817,178.2108,54.61602,80.19899,114.7107,719.305,11.51749,170.0089,103.8528,-1,25.01677,106.4691,9.93526,994.7919,-1,1583.662,46.78244
Burkina Faso,burkina faso,0.022206764,70.151,17.6,1703.102,20903278,5550.538,19168.27,3969.797,53,19569.41,1827.761,2768.951,2523.18,2089.518,5398.825,376.699,11096.28,309.5254,739.0032,30574.53,1209.92,2171.938,2636.829,136.4478,7391.084,3496.857,1862.528,15357.98,262.8704,2,12286.09,96.24737,4219.156,1507.397,99,2817.151,333.3166
