location,lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
Guatemala,guatemala,0.057112641,157.834,22.9,7423.808,17915567,364.2964,9695.463,1917.196,-1,15009.08,2156.483,5064.887,1994.831,4623.295,7300.31,47.35747,11033.6,354.0984,262.7767,13.36187,774.3663,6193.178,700.4099,356.4496,408.1677,2691.698,477.568,3675.152,1689.802,19,2957.059,77.17562,2046.934,959.2476,-1,5531.022,244.7885
Guinea,guinea,0.026319548,51.755,19,1998.926,13132792,2489.246,12032.99,2308.199,-1,16151.05,1595.505,1598.059,2898.267,1688.577,3130.949,258.4768,8124.697,271.7214,363.401,11355.46,597.6082,747.1528,2988.841,112.8908,5916.907,1978.267,1961.193,10011.54,115.6583,-1,5287.461,159.2002,2413.454,746.2684,28,1679.044,145.1154
Guinea-Bissau,guinea-bissau,0.030671322,66.191,19.4,1548.675,1967998,322.0466,1149.218,197.8657,-1,2222.094,138.9169,260.1641,369.5225,290.3426,527.5978,46.46366,989.4837,23.94159,48.35849,234.7712,91.00177,151.1003,1440.277,22.35248,861.1124,388.2299,136.5572,1645.904,18.92075,-1,1333.026,26.13789,208.914,140.6068,-1,253.4382,20.40542
Guyana,guyana,0.076817291,3.952,26.3,7435.047,786559,7.734598,248.4877,34.88651,-1,2034.288,133.9463,180.8319,112.8198,173.667,280.8371,5.430214,621.2701,21.31745,13.40304,12.17425,54.68396,126.7411,195.8541,10.98343,48.37233,117.5284,19.25157,194.155,39.17656,-1,45.19036,8.489039,40.06958,189.4373,-1,424.6897,3.523479
Haiti,haiti,0.061553372,398.448,24.3,1653.173,11402533,856.8808,6003.046,590.853,-1,23977.58,1281.852,2083.089,3134.361,1656.331,3619.116,94.69919,10064.65,272.061,323.1563,9.492964,908.4019,2189.978,3850.051,75.38463,1021.085,4487.432,1036.107,4793.468,301.7519,31,3702.874,89.29267,647.1608,835.9453,-1,4003.19,102.4243
Honduras,honduras,0.067882657,82.805,24.9,4541.795,9904608,110.1467,967.3656,150.651,2,13116.85,2408.427,744.1914,2056.156,2388.379,4449.073,69.43801,5430.66,333.912,45.73585,34.82469,306.2496,4154.034,62.87266,142.9814,426.0815,1294.355,274.4157,1464.134,374.5138,13,1228.895,9.58836,212.9769,351.947,-1,977.0058,96.0687
Hungary,hungary,0.127632199,108.043,43.4,26777.561,9660350,55.95473,1016.143,9.31167,-1,57211.68,7064.493,1553.066,5457.344,3227.807,5879.111,9.565139,32138.08,888.4412,130.4198,-1,129.6725,158.3745,39.80637,61.0806,67.72109,789.0895,10.41147,183.0902,509.4006,-1,250.3135,195.6874,24.56546,2025.491,-1,2063.351,54.82184
Iceland,iceland,0.110613919,3.404,37.3,46482.958,341250,1.583876,95.10638,1.187965,-1,738.2482,236.1269,26.70933,113.954,19.05221,64.74857,0.151422,652.3461,38.87305,3.139965,-1,3.562229,2.456794,0.851399,13.18916,1.527752,14.30191,0.049157,2.781931,10.43353,1,5.74335,1.741568,1.66442,39.9015,-1,22.18615,1.158921
India,india,0.084039402,450.419,28.2,6426.674,1380004385,50051.5,507363.7,24541.79,465,2632780,180053,223820.8,1271687,217895.6,419545.1,67273.23,929500.1,40589.57,27026.99,49712.34,60198.64,41849.7,52105.68,11154.81,449794.4,218876.1,39427.82,428672.1,28825.56,1979.023,719083.2,14727.65,43149.89,210869.1,766,254555.2,5094.612
Indonesia,indonesia,0.086353903,145.725,29.3,11188.744,273523621,5438.717,43764.32,11662.06,20,597995,47868.88,35445.61,96316.05,82144.53,121488.5,5719.166,198834.9,7100.37,1758.679,6520.338,5726.774,2526.709,6774.26,801.6824,82218.58,35625.69,6627.301,39215.28,773.5552,105,68636.31,125.528,12316.08,7912.481,24,97005.49,1107.045
Iran,iran,0.095474883,49.831,32.4,19082.62,83992953,736.2161,9314.907,154.1325,39,161329.9,21435.46,10162.66,14947.99,5399.928,9907.085,865.0147,60600.46,2671.858,1940.499,10.01413,1043.728,1917.094,791.7836,3389.22,804.0875,21123.76,298.0275,9552.988,282.5371,844.9309,817.6087,76.26548,201.8216,4771.444,94,16033.25,981.957
Iraq,iraq,0.044838947,88.125,20,15663.986,40222503,876.6762,3628.441,133.2688,6476,43072.48,3599.76,4706.08,2131.786,1185.074,2006.993,133.967,13779.91,474.9014,428.688,-1,575.0472,2453.608,115.7038,523.5469,702.4379,3772.744,274.8089,12277.65,76.17403,10,676.3934,103.0971,147.1069,1513.396,33240.11,4281.419,125.537
Ireland,ireland,0.108480013,69.874,38.7,67335.293,4937796,13.06846,1371.933,4.440991,-1,9681.449,2698.252,579.0373,2225.939,392.5443,1144.509,7.289524,9580.528,344.7266,41.30736,-1,44.70031,32.9373,9.787208,178.5591,32.31315,187.6357,2.550981,85.03318,99.59987,-1,37.92386,11.07067,8.972686,452.8746,-1,419.5234,10.61926
Israel,israel,0.07840704,402.606,30.6,33132.32,8655541,35.91092,2275.922,26.53725,3,11848.75,4657.72,2242.473,1812.252,707.3132,1807.963,11.37058,12966,567.6372,77.65089,-1,53.00294,186.8614,41.43986,70.20176,26.47408,631.6763,9.404217,240.7156,58.65508,-1,274.5107,32.06067,37.56302,542.331,21,2140.842,11.8277
Italy,italy,0.135798704,205.859,47.9,35220.084,60461828,181.7689,13166.68,214.6949,-1,216584.9,73338.89,14291.96,29044.28,11695.34,26403.21,310.5419,180576.8,7556.826,907.0489,-1,436.6796,469.1131,660.5652,689.7185,385.883,5709.54,16.77218,723.2019,437.5593,42,770.8696,421.2963,405.698,4337.245,-1,18551.19,124.9411
Jamaica,jamaica,0.091577218,266.879,31.4,8193.571,2961161,29.02039,503.233,55.24483,-1,6278.725,1252.862,809.6528,694.9346,191.9783,504.0466,7.247826,3974.732,150.88,34.56312,-1,31.97444,887.4157,439.5076,16.6574,14.96652,276.9388,28.04175,432.4155,15.50134,-1,31.51353,5.414264,61.16753,108.3323,-1,2515.769,8.118664
Japan,japan,0.138588158,347.778,48.2,39002.223,126476458,455.1663,109534.1,867.8927,-1,368091.3,198556,35708.54,53738.77,25351.93,56333.87,494.5363,414698.1,15612.76,1923.045,-1,7371.493,713.4597,206.7979,729.2489,3870.259,7680.894,46.42442,556.7303,954.6182,51,3084.432,1770.523,1238.029,28818.54,4,7461.734,463.8157
Jordan,jordan,0.064461498,109.285,23.2,8337.49,10203140,65.59245,1013.625,7.189101,4,9017.768,1298.83,1281.097,729.9303,444.767,821.7267,27.46409,4502.052,159.6286,131.8682,-1,107.8988,277.479,22.9285,88.09346,46.05598,1110.059,51.69953,2023.413,20.9999,-1,58.00505,14.23001,9.08285,304.316,35,1516.116,66.53726
Kazakhstan,kazakhstan,0.079311697,6.681,30.6,24055.588,18776707,214.7596,3623.799,59.90219,-1,67339.28,4480.966,1485.331,5614.611,6848.518,9114.56,42.10424,18399.63,624.1265,433.9436,-1,923.4912,1523.403,258.1846,788.1702,875.9636,2766.885,53.32321,2047.26,1671,-1,85.99527,795.3336,87.95365,4262.698,-1,1175.783,469.0197
Kenya,kenya,0.045171977,87.324,20,2993.028,53771300,5403.038,23268.42,4366.875,126,35992.61,4146.325,4687.314,6870.904,10398.41,18893.16,1036.404,21372.7,553.8632,1003.063,4708.224,1106.222,4372.331,48502.5,149.1744,14880.82,5502.844,3990.424,16978.27,536.9382,26,20835.36,106.9499,4490.647,3058.406,390.9993,6143.428,609.9015
Kiribati,kiribati,0.053314371,143.701,23.2,1981.132,119446,13.65036,40.92385,16.26999,-1,270.2849,18.57754,27.53421,62.79056,18.04779,43.92024,1.528743,93.20089,2.783687,0.869755,-1,6.127542,2.047319,0.490078,0.608663,53.50419,12.05964,8.194628,57.3225,0.42252,-1,33.1217,0.370385,16.75892,29.76315,-1,120.5331,2.265483
Kuwait,kuwait,0.14717509,232.128,33.7,65530.537,4270563,12.99419,572.9302,0.368051,-1,3093.847,324.4236,176.8678,166.3202,158.7991,262.1616,7.122697,1232.874,45.18946,32.09883,-1,24.09553,38.51386,5.418508,25.98151,23.24306,528.981,6.595984,173.3604,9.375841,-1,6.74363,3.457992,0.692854,129.9529,-1,217.17,17.55264
Kyrgyzstan,kyrgyzstan,0.064162055,32.333,26.3,3393.474,6524191,54.45972,853.8696,8.321521,-1,16556.55,823.9556,451.1396,1392.769,2158.98,2495.042,35.36106,3709.239,118.709,95.77138,-1,284.9655,268.1649,186.5395,129.1202,456.6193,884.416,59.47846,1841.998,384.7297,24,135.8603,106.8629,16.84307,594.3568,-1,265.0587,78.59998
Latvia,latvia,0.120910646,31.212,43.9,25063.846,1886202,11.21979,379.3643,1.032673,-1,15463.44,1739.981,258.6465,433.5486,434.2953,997.6229,3.636138,5620.687,197.0989,119.9835,-1,141.85,133.5545,126.4496,54.67324,59.95902,211.9339,2.696007,33.46984,294.096,-1,4.938556,118.3031,7.227374,437.9914,-1,320.1605,22.85294
Lebanon,lebanon,0.087290401,594.561,31.1,13367.565,6825442,53.46556,739.1376,10.23535,17,14093.88,1865.564,594.4323,1175.433,518.654,833.2277,49.96767,7703.127,212.6938,112.3526,-1,88.19529,380.3557,112.504,340.1696,35.81091,562.264,38.71087,557.451,24.35765,-1,79.21626,5.377602,12.91302,405.6232,386,1614.333,55.09212
Lesotho,lesotho,0.063925139,73.562,22.2,2851.153,2142252,173.0637,1573.242,165.7869,-1,4007.095,310.7546,416.5966,1046.348,208.8926,584.933,19.51155,1797.849,37.03875,108.1949,-1,111.8762,795.8477,6331.119,37.77343,1932.087,802.5567,144.0598,866.3739,35.5204,-1,1225.087,25.58182,172.2996,511.6626,4,1114.21,38.03676
Liberia,liberia,0.035260366,49.127,19.2,752.788,5057677,621.6224,2316.948,441.9609,-1,4414.236,435.9453,516.9282,554.337,732.5545,1231.917,85.04186,2117.893,65.7679,87.29094,2810.038,132.092,98.51802,1840.255,43.71306,1494.63,498.9437,704.9014,2442.033,47.81466,-1,2503.453,40.2034,465.4511,339.4093,4,530.2512,39.70795
Libya,libya,0.084478259,3.623,29,17881.509,6871287,70.59172,842.0967,13.14752,289,13334.42,1508.067,1181.291,1205.421,568.03,878.447,70.95248,5585.611,213.4367,135.1799,-1,124.5535,164.6954,103.2836,561.3965,72.27313,1701.28,50.80686,434.7188,39.27455,-1,65.31743,8.810682,16.5758,578.4157,1525,1404.877,75.24201
Lithuania,lithuania,0.122849554,45.135,43.5,29524.265,2722291,19.54139,704.4385,1.484676,-1,22251.13,1997.474,252.6547,781.7328,942.0361,2024.044,4.025511,8075.05,280.931,77.79742,-1,214.2193,171.4425,66.99807,128.0127,185.56,324.8702,2.707139,40.48791,359.1014,-1,12.06175,231.1688,4.38595,1032.719,-1,217.6338,99.12938
Luxembourg,luxembourg,0.125164288,231.447,39.7,94277.965,625976,1.429336,146.2916,4.490251,-1,1397.004,439.9575,84.5898,236.725,99.20003,227.1298,0.937791,1306.018,60.82162,4.782198,-1,3.344659,6.230085,2.40742,19.775,1.880617,37.50948,0.46109,5.53098,26.12666,-1,15.66859,1.88419,5.321832,68.9379,-1,63.51917,1.179947
Madagascar,madagascar,0.036026366,43.951,19.6,1416.44,27691019,3284.323,19853.58,11452.81,-1,34526.32,1420.626,2078.259,6402.333,2939.198,6016.878,334.6813,11739.54,205.3233,682.118,5799.111,833.3769,393.1541,2534.947,74.8445,4052.423,3475.193,2616.652,17583.95,228.902,81,23378.29,70.41297,11668.53,1590.274,172,2947.146,280.2614
Malawi,malawi,0.029154332,197.519,18.1,1095.042,19129955,2408.686,9425.692,2043.734,-1,15006.07,1897.146,1936.709,2560.388,2639.697,5615.827,379.4114,10092.6,243.3377,417.5407,6883.872,576.1804,292.6611,21935.15,70.50963,7224.687,2227.06,1051.825,11081.86,219.5974,-1,7060.623,49.61179,2100.162,1187.45,12,2642.335,179.6113
Malaysia,malaysia,0.094225984,96.254,29.9,26808.164,32365998,452.6776,23692.32,57.51607,4,57288.43,5886.654,4730.786,5769.779,3082.267,7061.274,292.1231,27056.56,880.6126,388.6079,10.4379,875.2911,602.6613,1579.2,415.3129,1281.148,6946.479,288.7894,1305.346,440.2619,9,672.2148,14.35012,65.69508,2280.855,-1,1842.681,226.9715
Mali,mali,0.013914751,15.196,16.4,2014.306,20250834,5727.561,11585.84,6478.289,361,18035.36,1654.032,2144.166,4736.349,1783.985,4792.867,649.0267,10409.65,280.5074,775.2139,25080.47,1522.762,1061.462,5806.52,85.33162,3522.888,3109.036,2558.9,26640.29,115.2366,-1,15386.29,230.8983,6685.806,724.2008,870,2059.067,292.2189
Malta,malta,0.12966925,1454.037,42.4,36513.323,441539,1.797043,173.3603,0.565425,1,1568.586,330.8366,94.49682,171.6972,43.70544,127.385,0.692139,1041.512,53.70795,2.616805,-1,4.726216,5.291091,1.625887,7.956521,1.233906,17.25323,0.495826,11.48706,4.292346,-1,2.770232,1.541532,1.126852,26.64015,-1,117.2112,0.670543
Mauritania,mauritania,0.03820734,4.289,20.3,3597.633,4649660,322.746,1894.867,209.325,-1,3924.008,559.058,460.0119,599.7427,425.5051,899.8596,44.87861,2308.545,87.81851,67.76852,271.1021,87.34597,148.6732,19.6017,38.00944,542.1826,674.4635,509.0402,1998.381,30.88557,18,1489.807,31.37457,219.964,157.6706,2,541.269,28.57625
Mauritius,mauritius,0.117023139,622.962,37.4,20292.745,1271767,8.948408,307.0366,13.03236,-1,3309.688,454.2133,1070.492,497.6563,238.2249,363.8701,8.397089,1393.887,60.17462,27.39005,-1,46.10326,32.50727,95.80596,17.65498,14.82743,164.7064,6.75882,92.03711,77.77361,-1,27.01491,0.659521,13.7136,117.645,-1,1728.617,3.723387
Mexico,mexico,0.083015354,66.444,29.3,17336.469,128932753,759.7249,21838.36,5485.201,23,161782.7,32865.39,65032.69,34315.87,40508.9,62517.12,705.5454,97281.57,4564.665,1322.496,1.51975,3302.838,43160.18,5575.207,1363.438,2619.276,20169.84,1119.553,11536.9,4943.33,528,4593.693,282.734,6198.598,7634.622,-1,64067.06,712.4695
Micronesia (country),micronesia (country),0.071225337,150.777,23,3299.464,115021,2.166062,31.50836,2.507487,-1,265.2576,17.70485,38.67922,43.12336,14.05335,26.16208,1.029714,88.52291,2.728632,1.474281,-1,8.559379,5.842975,30.41759,0.840487,6.855277,16.2765,3.210877,15.50202,1.015162,-1,2.84415,1.063133,2.646847,16.95263,-1,68.16865,1.077066
Moldova,moldova,0.122827215,123.655,37.6,5189.972,4033963,27.07508,949.1319,0.935833,-1,23193.75,1340.165,207.4041,916.266,3094.018,3862.629,3.86577,6307.417,173.1796,118.8557,-1,208.2192,224.5556,173.392,59.21639,240.3319,441.8427,6.596377,215.7758,484.7019,-1,9.194655,217.9804,2.007231,649.5013,-1,266.6125,191.0029
Mongolia,mongolia,0.074537921,1.98,28.6,11840.846,3278292,31.30218,660.1588,2.201722,-1,7769.978,290.2669,328.4446,345.9712,1374.37,1835.25,19.85409,4810.937,46.08331,100.9714,-1,142.6997,272.5122,19.88733,40.12992,367.3539,546.1161,32.36381,941.0069,486.783,17,30.06821,222.8059,11.48159,524.7622,-1,98.71419,88.09186
Montenegro,montenegro,0.113289373,46.28,39.1,16409.288,628062,1.489661,67.74575,0.665351,-1,3737.45,354.2744,126.6194,85.81923,48.9952,156.4231,1.820905,1400.632,52.03102,8.645146,-1,5.951863,22.12047,1.35838,16.56905,4.65528,57.00667,0.508774,16.44886,12.15514,-1,0.682563,0.648715,0.995375,76.64361,-1,162.1371,4.626533
Morocco,morocco,0.081679653,80.08,29.6,7485.013,36910558,715.6991,5845.591,86.05937,-1,115124,9342.936,4543.652,7679.8,3298.015,5931.75,416.109,24504.9,1260.77,850.7343,-1,626.2136,409.9523,602.4716,663.8751,4882.782,7263.557,805.3197,5595.514,129.7078,-1,1022.393,62.57203,109.5787,2574.463,2,8062.255,395.0883
Mozambique,mozambique,0.023063482,37.728,17.7,1136.103,31255435,3291.009,13894.98,2428.592,22,29832.8,2257.686,2582.428,3882.24,2380.05,7117.577,687.916,15826.03,319.2816,898.6019,18422.95,1168.04,1905.198,62135.39,277.2848,19234.01,5077.564,2089.722,19374.5,495.5558,7,10689.01,37.91041,2552.629,2721.816,172,4373.037,406.8514
Myanmar,myanmar,0.085342022,81.721,29.1,5591.597,54409794,1668.448,22581.64,1046.987,218,77462.79,14444.56,12025.87,55534.59,23171.37,28410.72,428.0184,60066.16,2034.15,320.623,3686.569,3136.132,888.9617,5345.866,332.9441,13539.53,10941.51,1854.993,13244.37,783.0525,3,8120.978,83.25469,1215.102,2673.325,31,27216.84,956.8713
Namibia,namibia,0.048739878,3.078,22,9541.808,2540916,107.1414,1148.079,131.748,-1,3002.678,406.5874,250.2512,651.6705,216.5868,594.7822,9.827938,1553.516,44.9158,75.43144,8.21069,68.30926,345.7521,3960.461,27.58052,869.1125,451.4571,59.53589,830.033,38.56817,-1,812.6501,17.90733,135.4811,231.152,1,546.2449,25.8179
Nepal,nepal,0.069424029,204.43,25,2442.804,29136808,836.5717,9297.13,386.8224,4,49248.39,4178.87,4879.34,23583.44,5671.171,9756.221,784.3223,18314.54,724.7773,372.5364,723.9819,941.0796,486.545,2619.361,94.95908,4796.009,6786.524,1363.975,8576.957,277.6595,154,10796.48,90.67712,758.3753,2340.712,-1,5248.406,84.91447
Netherlands,netherlands,0.124475421,508.544,43.2,48472.545,17134873,95.12095,6178.48,86.71575,-1,40563.73,14835.51,2682.51,10108.83,1680.558,5648.783,17.55941,51853.55,1791.53,153.2108,-1,107.8936,146.0267,55.5421,233.4386,92.86453,856.1781,10.98866,320.3556,532.6808,-1,352.9789,58.57404,176.7241,2065.993,-1,2729.105,22.93743
New Zealand,new zealand,0.108559209,18.206,37.9,36085.843,4822233,14.18523,727.9379,7.0206,-1,10897.92,2974.859,772.5942,2143.279,292.1387,999.854,3.243764,9838.061,376.9227,22.62447,-1,53.59198,59.62978,9.979438,74.6884,17.98757,362.0176,6.396218,120.5505,65.65511,-1,70.73766,8.02209,10.07591,537.0907,-1,555.585,9.064066
Nicaragua,nicaragua,0.071466854,51.667,27.3,5321.444,6624554,55.6164,848.9483,97.29988,-1,6033.241,1173.402,2291.898,877.278,1126.541,1579.407,15.49268,3288.86,141.3884,27.35829,2.652593,160.2589,471.7291,590.4062,29.7343,138.0359,653.6433,74.3864,848.4011,391.4601,15,183.6807,5.213892,99.67656,372.4326,-1,1230.827,22.96897
Niger,niger,0,16.955,15.1,926,24206636,7814.647,19709.96,2197.827,148,13967.47,1211.49,1776.717,3053.441,1503.904,4412.171,688.1904,8177.463,208.6925,657.128,30485.14,1202.955,1051.282,1950.52,77.77433,5808.68,2541.554,2929.876,16201.59,119.8928,72,21955.44,229.6829,2330.041,752.6587,308,1685.394,258.1897
Nigeria,nigeria,0.024372832,209.588,18.1,5338.454,206139587,52947.74,189929.7,25056.66,1805,122519.5,20451.33,13739.86,19051.59,45473.58,71075.86,3305.338,96555.2,2966.348,4084.748,152240.3,7811.725,7132.933,169102.5,2071.509,57219.48,19810.2,17982.34,180354.7,1961.227,20,138358.7,1297.321,25758.85,8069.485,4058,12248.45,1674.22
North Macedonia,north macedonia,0.121216475,82.6,39.1,13111.214,2083380,7.564612,146.9991,0.472145,-1,10517.92,847.7635,308.629,533.6022,235.214,465.0475,2.811752,4377.526,140.6209,14.92296,-1,26.05558,39.4336,1.660123,11.5317,32.14149,160.5494,2.120128,126.8478,20.8918,-1,7.161613,9.75652,0.96454,191.3922,-1,745.4753,8.79548
Norway,norway,0.118358304,14.462,39.7,64800.057,5421242,18.84312,1840.086,39.31046,-1,12885.82,4465.163,589.967,2639.16,372.6169,1388.398,7.084892,11610.93,464.6479,91.97411,-1,56.45055,38.38302,14.78372,273.9318,39.57608,215.0949,1.891764,56.85864,261.4163,-1,317.6401,51.35413,54.74399,583.1096,-1,591.0818,36.40266
Pakistan,pakistan,0.052676617,255.573,23.5,5034.708,220892331,18853.03,59440.46,3141.975,1076,381421.3,22590.43,36844.36,69969.13,45501.13,72646.91,5948.321,170986.7,3684.376,2603.088,4999.174,13045.64,9326.104,5306.439,999.5133,44149.9,53008.69,18371.35,185097.7,1547.287,42,59787.13,614.5548,5648.26,9086.871,474,40871.57,1150.325
Palestine,palestine,0.043595824,778.202,20.4,4449.898,5101416,40.93469,515.3591,7.785984,50,5326.832,690.1418,623.983,411.421,221.6694,371.4858,12.48446,2265.38,73.05889,25.9211,-1,40.69429,259.7902,10.27481,28.66344,39.86704,355.2046,18.36526,1013.998,9.743792,-1,35.12413,6.929605,8.879013,145.1459,128,763.2215,7.060371
Panama,panama,0.082958929,55.133,29.7,22267.037,4314768,50.15242,896.6116,106.2003,-1,5245.649,1290.518,951.4742,767.0216,455.1673,825.0837,8.570627,3518.505,176.0078,24.55361,0.447393,132.7615,639.8866,526.1548,26.14456,197.6637,512.0313,49.85334,371.1315,28.23005,1,172.5886,1.786816,114.2216,198.6259,-1,1067.531,13.87217
Papua New Guinea,papua new guinea,0.05293334,18.22,22.6,3823.194,8947027,757.053,5470.894,818.3788,-1,23547.02,499.2595,1964.307,12145.74,1306.555,1894.265,205.9345,6191.378,121.8786,259.986,606.0862,1541.011,994.3001,1323.261,35.95094,1226.131,2831.479,1532.471,4032.891,95.66632,-1,3244.252,145.7281,841.1056,2023.289,-1,3050.193,150.1157
Paraguay,paraguay,0.074405852,17.144,26.5,8827.01,7132530,86.7083,1361.033,236.3982,4,9835.082,1556.938,1601.637,1075.154,670.9362,1516.424,11.79316,5649.399,207.2269,57.2922,-1,168.7343,844.5777,761.5756,24.89032,229.7117,1491.431,108.4499,482.6127,237.8484,-1,173.8655,8.890798,242.1272,392.6291,-1,2187.864,16.08487
Peru,peru,0.092449591,25.129,29.1,12236.706,32971846,262.1794,16638.31,645.6469,8,27719.88,10194.57,5287.027,7492.045,5561.867,9227.469,90.16664,28512.88,1311.304,378.6546,6.291194,845.8964,1186.828,2395.686,384.7329,2073.522,4576.996,548.7835,3711.579,283.1946,100,1222.163,147.7476,718.5189,1033.197,-1,4299.501,220.824
Philippines,philippines,0.0704925,351.873,25.2,7599.188,109581085,3401.071,68012.8,3403.399,496,217552.3,15735.49,34051.06,33060.84,12696.36,26512.93,783.1084,79280.31,2395.242,1186.829,101.4935,5245.232,15890.54,4184.931,584.9605,29321.86,10940.45,2104.204,24721.79,1430.302,69,7086.1,205.0524,4132.153,5570.29,1138,26048.59,251.0984
Poland,poland,0.127171725,124.027,41.8,27216.445,37846605,162.7442,11095.51,76.27542,-1,168708.8,28753.24,3441.928,11826.4,7788.44,16842.78,47.1222,109265.9,3509.841,630.6126,-1,904.3588,666.0391,143.554,303.7186,576.845,3953.773,16.35515,700.0409,4456.999,-1,277.8153,357.7383,97.87944,6778.409,-1,6654.609,243.2354
Portugal,portugal,0.13274744,112.371,46.2,27936.896,10196707,44.1346,7160.5,83.0236,-1,36943.49,10795.24,3109.178,6597.616,2132.956,5110.857,28.69006,29599.81,1263.27,236.144,-1,120.8649,141.6662,502.47,148.7667,223.4486,960.9297,6.866009,122.7603,294.5263,-1,160.8365,66.25166,115.1371,1358.758,-1,3768.998,34.55108
Romania,romania,0.126116602,85.129,43,23313.199,19237682,75.91687,6206.581,56.1713,-1,144848.7,14456.18,3043.168,7448.148,10114.34,14231.6,42.77151,51228.94,2176.026,435.031,-1,714.0205,405.3739,165.4362,348.2628,1008.608,2184.285,30.32043,472.2722,627.9948,9,105.7229,316.9955,81.53603,2364.217,-1,2259.563,344.9584
Russia,russia,0.114908329,8.823,39.6,24765.954,145934460,1346.138,35492.71,215.0219,61,1000223,84368.92,11360.91,38231.87,50909.93,94608.72,214.1058,291446.5,9642.989,7062.685,-1,8258.914,21636.7,19301.84,9480.169,10564.94,24384.76,250.3218,4460.504,28503.96,16,412.0178,10177.37,990.9012,43897.49,131,15681.7,6482.4
Rwanda,rwanda,0.039309473,494.869,20.3,1854.211,12952209,1318.609,6441.018,1489.845,2,8125.476,1124.555,1147.999,2106.399,2668.404,4855.546,260.236,6307.897,144.0418,319.3455,3052.313,356.8578,370.0222,2962.576,33.76694,4564.285,2660.807,731.0272,5923.19,167.3458,3,3896.288,27.69266,1536.186,776.6818,4,1613.464,128.9993
Saint Lucia,saint lucia,0.110792047,293.187,34.9,12951.839,183629,1.668535,56.93284,4.286152,-1,422.1346,79.08308,55.32599,53.25604,27.52653,49.34332,0.434753,271.4691,11.2139,3.059286,-1,9.814447,32.83824,7.829779,1.774328,4.027602,25.01926,1.73546,16.67287,9.142152,-1,3.734312,0.678238,4.882114,13.89025,-1,107.9433,0.484298
Saint Vincent and the Grenadines,saint vincent and the grenadines,0.100173049,281.787,31.8,10727.146,110947,1.606536,45.27701,5.92191,-1,348.0821,34.52784,36.56508,21.5849,16.92977,37.17383,0.151112,193.5275,6.296077,2.271503,-1,7.513366,23.68551,20.14341,1.38749,2.649768,11.55012,1.526588,14.40644,9.92082,-1,3.810479,1.178064,6.922261,9.108741,-1,95.11244,0.287091
Samoa,samoa,0.042057013,69.413,22,6021.557,198410,2.745447,52.59585,4.371691,-1,410.9523,49.45249,56.43049,63.67148,22.87846,45.90917,1.451414,117.7593,6.103587,2.519879,-1,9.084925,6.130382,9.090374,0.919951,7.67064,18.02156,1.868963,28.75402,0.929471,-1,5.775791,1.340462,4.596634,17.27272,-1,79.1109,1.359825
Sao Tome and Principe,sao tome and principe,0.034612053,212.841,18.7,3052.714,219161,6.339805,118.4139,10.75115,-1,238.2304,23.99773,45.46967,85.5483,79.20475,98.90982,5.090556,128.4356,4.461001,0.992538,0.482682,3.778794,10.1975,0.204947,1.665015,24.04235,23.60646,8.39764,56.16529,2.499875,-1,16.97727,0.20107,11.24663,5.33701,-1,13.88959,1.786045
Saudi Arabia,saudi arabia,0.120944104,15.322,31.9,49045.411,34813867,144.9097,3505.027,45.20892,31,31568.6,3370.617,3817.802,2664.778,2461.031,3108.592,156.5175,11843.35,470.9877,709.8228,15.75159,1324.815,302.0801,525.8029,467.0565,678.8619,12039.45,130.4352,2400.988,118.3273,4,212.3938,105.5136,48.94313,1082.765,2589,2130.465,270.6595
Senegal,senegal,0.026987077,82.328,18.7,2470.58,16743930,2014.61,7727.294,842.5002,-1,14794.17,1960.308,1930.225,2852.204,1421.123,3747.114,259.127,8930.529,332.8725,372.2413,2145.935,502.7346,147.4839,1803.991,128.4098,5250.076,1799.997,1407.58,7876.981,127.0866,-1,7269.555,166.8335,895.6119,1111.508,-1,2348.713,149.6291
Serbia,serbia,0.12315759,80.291,41.2,14048.881,6804596,30.7826,1512.248,10.67304,-1,67115.49,6511.553,2385.695,4159.83,1304.072,4233.834,6.900665,26964.76,851.3723,109.2023,-1,113.844,218.0943,72.50414,91.31812,139.5459,780.1089,9.875001,235.7817,393.095,-1,66.61551,61.3085,19.48288,1601.184,-1,3444.554,42.81132
Seychelles,seychelles,0.100590475,208.354,36.2,26382.287,98340,4.453953,72.86997,1.181992,-1,236.0211,33.46524,41.48696,26.81282,27.4977,48.00843,0.950975,161.7283,4.187954,3.832548,-1,12.41318,6.288184,5.790631,0.864391,1.719032,14.37732,0.987422,7.460602,0.983582,-1,2.360631,0.202474,1.462394,8.895314,-1,18.04148,0.631073
