lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
belarus,0.11907591,46.858,40.3,17167.967,9449321,0.005401801,0.124299725,0.00142479,-1,7.726929797,0.693161022,0.051360272,0.21852332,0.268086247,0.476031241,0.002252209,1.963944288,0.073955832,0.065945648,-1,0.066681532,0.068600749,0.032161993,0.042735399,0.036479849,0.104773592,0.001289398,0.025910317,0.296588189,-1,0.001466904,0.067923558,0.004795332,0.249432314,-1,0.03783565,0.032055436
belgium,0.119843634,375.564,41.8,42658.576,11589616,0.004108989,0.489160469,0.017898945,0.000172568,2.777850448,0.910326106,0.180916607,0.587099003,0.172947835,0.441012196,0.003359576,2.655994815,0.105989189,0.015663901,-1,0.008035768,0.013080356,0.005339742,0.023790762,0.007779888,0.089334539,0.000689895,0.015554873,0.044493277,-1,0.060176964,0.007439537,0.02325813,0.183948545,-1,0.123938187,0.003701929
belize,0.072040108,16.426,25,7824.362,397621,0.007720701,0.277950108,0.025099122,-1,1.066964773,0.16346536,0.212511864,0.17262539,0.143774021,0.231703029,0.00277224,0.695999205,0.027731533,0.010686971,0.000582884,0.06458683,0.266596835,0.2040983,0.005451576,0.034045309,0.181731071,0.012585912,0.169646246,0.028780296,-1,0.028747274,0.002296896,0.028089336,0.070264649,-1,0.31574615,0.005660181
benin,0.028950299,99.11,18.8,2064.236,12123198,0.141559183,0.623977683,0.109006716,-1,0.760648057,0.095706265,0.106537813,0.163548595,0.104716594,0.216860601,0.016587851,0.44819329,0.01517084,0.021424339,0.778094278,0.034673112,0.047706389,0.149282805,0.00807271,0.238366147,0.255128886,0.093496782,0.794093852,0.010670559,-1,0.526532026,0.009617611,0.113419825,0.05722189,0.001072324,0.100315115,0.009043332
bhutan,0.094198699,21.188,28.6,8708.597,771612,0.025328403,0.232929374,0.006423485,-1,1.498802507,0.161703032,0.176180256,0.578404561,0.203341705,0.330270784,0.026123777,0.632799386,0.028167123,0.012742919,0.023695264,0.030025492,0.012491588,0.105415351,0.005643426,0.084576303,0.091157343,0.036952717,0.26523123,0.016450055,-1,0.171675661,0.002837626,0.011145784,0.063546472,-1,0.156384038,0.003484608
bolivia,0.068454294,10.202,25.4,6885.829,11673029,0.014392134,0.459145694,0.048727618,-1,1.308558387,0.227091614,0.271154214,0.267451833,0.189789214,0.34931319,0.004725008,1.044750253,0.040959146,0.015879777,0.000431249,0.036772658,0.058651461,0.099990671,0.012709974,0.098120034,0.18228979,0.039726544,0.242062964,0.026072462,-1,0.047629291,0.005811251,0.054955171,0.057247223,-1,0.248670675,0.00806971
bosnia and herzegovina,0.129592825,68.496,42.5,11713.895,3280815,0.003577776,0.109605327,0.000618479,-1,5.519153015,0.606737046,0.184210753,0.399341017,0.175990661,0.34622129,0.002001314,2.728083113,0.098775182,0.012439299,-1,0.010765032,0.025233834,0.000468143,0.008704154,0.041042515,0.081876637,0.000601246,0.026593804,0.034297484,-1,0.002635894,0.001147507,0.001865476,0.094972164,-1,0.698942488,0.006179504
botswana,0.059354422,4.044,25.8,15807.374,2351625,0.030253425,0.326455026,0.033205966,-1,1.083435497,0.137379514,0.112330537,0.216717631,0.079702376,0.186183214,0.003309224,0.632251741,0.015099448,0.026895747,0.002397349,0.019299905,0.077393845,1.744163717,0.01111275,0.189009642,0.126965056,0.017232748,0.185245607,0.011030492,-1,0.245321044,0.004983486,0.034372296,0.085100473,-1,0.284202328,0.009739495
brazil,0.10196776,25.04,33.5,14103.452,212559409,0.011342118,0.395527822,0.030945156,-1,1.826633325,0.34540447,0.166307011,0.342236932,0.170631543,0.341344052,0.005070333,1.152474507,0.043055619,0.007923902,0.000275094,0.03010348,0.300270359,0.072478184,0.010512788,0.026406632,0.217736257,0.009663007,0.100042619,0.050984617,6.59E-05,0.030873246,0.001406693,0.033860331,0.066546337,-1,0.265683605,0.001820656
brunei,0.103000392,81.347,32.4,71809.251,437483,0.006385206,0.208874905,0.000696598,-1,1.157495948,0.117700116,0.160612115,0.222264248,0.056046178,0.122214532,0.011560648,1.102443524,0.023051776,0.013836437,-1,0.042965601,0.014614223,0.010662231,0.006896673,0.040414393,0.154929723,0.007941326,0.048661434,0.003606216,-1,0.005936519,0.001860116,0.002037757,0.062707694,-1,0.383873659,0.004355262
