iso_code,continent,location,LOC,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ECU,South America,ecuador,Ecuador,11/3/2022,1008035,0,0,35920,0,0,55998.827,0,0,1995.444,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,18001002,,,,
EGY,Africa,egypt,Egypt,11/3/2022,515645,0,0,24798,0,0,4645.865,0,0,223.425,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096,,,,
SLV,North America,el salvador,El Salvador,11/3/2022,201785,0,0,4230,0,0,31845.405,0,0,667.572,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393,,,,
GNQ,Africa,equatorial guinea,Equatorial Guinea,11/3/2022,17174,0,0.429,183,0,0,10253.649,0,0.256,109.259,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916,,,,
ERI,Africa,eritrea,Eritrea,11/3/2022,10189,0,0.286,103,0,0,2765.713,0,0.078,27.958,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3684041,,,,
EST,Europe,estonia,Estonia,11/3/2022,607300,,,2748,0,1.286,457971.863,,,2072.298,0,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064,,,,
SWZ,Africa,eswatini,Eswatini,11/3/2022,73558,0,4.571,1422,0,0,61212.636,0,3.804,1183.343,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1201680,,,,
ETH,Africa,ethiopia,Ethiopia,11/3/2022,493996,8,12,7572,0,0,4003.86,0.065,0.097,61.371,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,
OWID_EUR,,europe,Europe,11/3/2022,236705061,186276,110384.571,1964728,1682,617.143,317806.903,250.099,148.205,2637.899,2.258,0.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744807803,,,,
OWID_EUN,,european union,European Union,11/3/2022,174263325,130828,92292.714,1163392,683,394.286,387125.55,290.634,205.028,2584.472,1.517,0.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450146793,,,,
FRO,Europe,faeroe islands,Faeroe Islands,11/3/2022,34658,0,0,28,0,0,652484.139,0,0,527.138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.308,,,,,,,,,,,,80.67,,53117,,,,
FLK,South America,falkland islands,Falkland Islands,11/3/2022,1930,0,0,,,,507761.115,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801,,,,
FJI,Oceania,fiji,Fiji,11/3/2022,68270,6,0.857,878,0,0,73426.84,6.453,0.922,944.321,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769,,,,
FIN,Europe,finland,Finland,11/3/2022,1360721,11984,1712,6741,173,24.714,245584.484,2162.886,308.984,1216.623,31.223,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745,,,,
FRA,Europe,france,France,11/3/2022,36952950,42025,20853,157268,55,61.143,544924.277,619.719,307.507,2319.142,0.811,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000,,,,
PYF,Oceania,french polynesia,French Polynesia,11/3/2022,76764,0,0.857,649,0,0,250623.588,0,2.798,2118.893,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,
GAB,Africa,gabon,Gabon,11/3/2022,48945,0,4.429,306,0,0,20487.677,0,1.854,128.087,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997,,,,
GMB,Africa,gambia,Gambia,11/3/2022,12580,0,10.286,372,0,0,4648.937,0,3.801,137.473,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,2705995,,,,
GEO,Asia,georgia,Georgia,11/3/2022,1780691,0,0,16900,0,0,475563.01,0,0,4513.425,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385,,,,
DEU,Europe,germany,Germany,11/3/2022,35784912,56635,37357.143,154328,233,135.857,429230.907,679.322,448.089,1851.125,2.795,1.63,,,,,,,,5553,66.607,,,,,,,,,,,,,,,,,,,,,,,,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,
GHA,Africa,ghana,Ghana,11/3/2022,170894,187,45.857,1460,0,0,5104.991,5.586,1.37,43.614,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870,,,,
GIB,Europe,gibraltar,Gibraltar,11/3/2022,20121,0,0,108,0,0,615754.2,0,0,3305.077,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3457.1,,,,,,,,,,,,79.93,,32677,,,,
GRC,Europe,greece,Greece,11/3/2022,5188890,,,33750,,,499653.73,,,3249.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,10384972,,,,
GRL,North America,greenland,Greenland,11/3/2022,11971,0,0,21,0,0,211898.609,0,0,371.721,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,,,,,,199.941,2.16,,,,,71.7,,56494,,,,
GRD,North America,grenada,Grenada,11/3/2022,19604,13,1.857,237,0,0,156258.22,103.62,14.803,1889.063,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459,,,,
GTM,North America,guatemala,Guatemala,11/3/2022,1141290,618,288,19897,2,2.429,63959.622,34.634,16.14,1115.058,0.112,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,17843914,,,,
GIN,Africa,guinea,Guinea,11/3/2022,38047,0,0,456,0,0,2745.223,0,0,32.902,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,13859349,,,,
GNB,Africa,guinea-bissau,Guinea-Bissau,11/3/2022,8848,0,0,176,0,0,4202.168,0,0,83.587,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2105580,,,,
GUY,South America,guyana,Guyana,11/3/2022,71438,0,0.286,1281,0,0,88333.888,0,0.353,1583.971,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,808727,,,,
HTI,North America,haiti,Haiti,11/3/2022,33828,17,2.429,860,3,0.429,2919.982,1.467,0.21,74.234,0.259,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,
OWID_HIC,,high income,High income,11/3/2022,393987398,415021,290343.857,2711726,2441,1038.714,315060.214,331.88,232.18,2168.488,1.952,0.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600,,,,
HND,North America,honduras,Honduras,11/3/2022,457196,,,11039,0,0.286,43822.699,,,1058.099,0,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634,10432858,,,,
HKG,Asia,hong kong,Hong Kong,11/3/2022,1933080,5245,5055.286,10428,10,10,258127.302,700.373,675.04,1392.468,1.335,1.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,7488863,,,,
HUN,Europe,hungary,Hungary,11/3/2022,2141513,0,0,47938,0,0,214853.786,0,0,4809.525,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,9967304,,,,
ISL,Europe,iceland,Iceland,11/3/2022,206571,,,219,0,0.857,553953.709,,,587.284,0,2.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903,,,,
IND,Asia,india,India,11/3/2022,44658365,2439,1325.286,530479,18,211.429,31512.286,1.721,0.935,374.322,0.013,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,1417173120,,,,
IDN,Asia,indonesia,Indonesia,11/3/2022,6507610,4951,3694.429,158737,42,30.714,23620.974,17.971,13.41,576.175,0.152,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,275501344,,,,
OWID_INT,,international,International,11/3/2022,721,0,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Asia,iran,Iran,11/3/2022,7557962,157,118.286,144583,3,3,85351.931,1.773,1.336,1632.773,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,88550568,,,,
IRQ,Asia,iraq,Iraq,11/3/2022,2461484,,,25358,0,0,55319.066,,,569.892,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,
IRL,Europe,ireland,Ireland,11/3/2022,1673665,,,8066,,,333193.115,,,1605.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955,5023108,,,,
IMN,Europe,isle of man,Isle of Man,11/3/2022,38008,0,0,116,0,0,449617.905,0,0,1372.229,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534,,,,
ISR,Asia,israel,Israel,11/3/2022,4687132,1072,845,11767,1,1.286,496045.296,113.451,89.427,1245.317,0.106,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9449000,,,,
ITA,Europe,italy,Italy,11/3/2022,23531023,,,179101,,,398577.754,,,3033.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,
JAM,North America,jamaica,Jamaica,11/3/2022,151931,0,0,3320,0,0,53735.576,0,0,1174.231,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382,,,,
JPN,Asia,japan,Japan,11/3/2022,22527741,67473,49982.571,46956,69,52.143,181746.13,544.349,403.242,378.825,0.557,0.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,123951696,,,,
JOR,Asia,jordan,Jordan,11/3/2022,1746997,0,0,14122,0,0,154794.998,0,0,1251.299,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875,,,,
KAZ,Asia,kazakhstan,Kazakhstan,11/3/2022,1484932,,,19052,0,0,76550.786,,,982.163,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,19397998,,,,
KEN,Africa,kenya,Kenya,11/3/2022,339350,0,54.286,5678,0,0,6281.062,0,1.005,105.095,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,54027484,,,,
KIR,Oceania,kiribati,Kiribati,11/3/2022,3430,0,0,13,0,0,26135.922,0,0,99.057,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237,,,,
OWID_KOS,Europe,kosovo,Kosovo,11/3/2022,272174,7,3,3202,0,0,152725.273,3.928,1.683,1796.742,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.155,,,,9795.834,0.6,,,,,,,,,1782115,,,,
KWT,Asia,kuwait,Kuwait,11/3/2022,662073,,,2568,0,0.286,155092.687,,,601.562,0,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.806,4268886,,,,
KGZ,Asia,kyrgyzstan,Kyrgyzstan,11/3/2022,206452,0,7.571,2991,0,0,31136.148,0,1.142,451.089,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621,,,,
LAO,Asia,laos,Laos,11/3/2022,216265,5,6,758,0,0,28722.446,0.664,0.797,100.671,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,
LVA,Europe,latvia,Latvia,11/3/2022,953835,498,452.429,6058,2,1.143,515404.284,269.094,244.47,3273.437,1.081,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,
LBN,Asia,lebanon,Lebanon,11/3/2022,1218923,113,93.571,10710,1,1.143,222036.401,20.584,17.045,1950.911,0.182,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,5489744,,,,
LSO,Africa,lesotho,Lesotho,11/3/2022,34490,0,0,706,0,0,14957.764,0,0,306.181,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,2305826,,,,
LBR,Africa,liberia,Liberia,11/3/2022,7996,0,1.143,294,0,0,1507.914,0,0.216,55.444,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690,,,,
LBY,Africa,libya,Libya,11/3/2022,507051,0,2.429,6437,0,0,74431.209,0,0.356,944.902,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,6812344,,,,
LIE,Europe,liechtenstein,Liechtenstein,11/3/2022,20663,0,10.714,87,0,0,525041.291,0,272.247,2210.647,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,39355,,,,
LTU,Europe,lithuania,Lithuania,11/3/2022,1268707,36,230.429,9396,3,1.286,461338.27,13.091,83.79,3416.655,1.091,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.882,2750058,,,,
OWID_LIC,,low income,Low income,11/3/2022,2251768,141,257.429,47677,2,0.714,3052.811,0.191,0.349,64.638,0.003,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737604900,,,,
OWID_LMC,,lower middle income,Lower middle income,11/3/2022,96515061,26935,10346.571,1339511,284,314,28121.307,7.848,3.015,390.289,0.083,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3432097300,,,,
LUX,Europe,luxembourg,Luxembourg,11/3/2022,302868,647,158.143,1146,1,0.286,467676.857,999.072,244.198,1769.608,1.544,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,647601,,,,
MAC,Asia,macao,Macao,11/3/2022,795,0,0.286,6,0,0,1143.589,0,0.411,8.631,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180,,,,
MDG,Africa,madagascar,Madagascar,11/3/2022,66749,0,6.143,1411,0,0,2254.141,0,0.207,47.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,29611718,,,,
MWI,Africa,malawi,Malawi,11/3/2022,88073,0,0,2683,0,0,4316.179,0,0,131.485,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,20405318,,,,
MYS,Asia,malaysia,Malaysia,11/3/2022,4914557,4711,3445.714,36480,0,2.571,144808.938,138.811,101.529,1074.894,0,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,33938216,,,,
MDV,Asia,maldives,Maldives,11/3/2022,185364,0,12,308,0,0,353884.513,0,22.91,588.013,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74,523798,,,,
MLI,Africa,mali,Mali,11/3/2022,32738,1,2.143,742,0,0,1448.995,0.044,0.095,32.841,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434,22593598,,,,
MLT,Europe,malta,Malta,11/3/2022,115425,23,18.714,808,0,0,216438.243,43.128,35.092,1515.115,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,533293,,,,
MHL,Oceania,marshall islands,Marshall Islands,11/3/2022,15389,0,0,17,0,0,369990.143,0,0,408.723,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,41593,,,,
MRT,Africa,mauritania,Mauritania,11/3/2022,63385,5,7.429,997,0,0,13383.245,1.056,1.568,210.509,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546,4736146,,,,
MUS,Africa,mauritius,Mauritius,11/3/2022,265301,,,1032,0,0,204159.67,,,794.165,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478,,,,
MEX,North America,mexico,Mexico,11/3/2022,7112504,,,330410,,,55782.543,,,2591.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,127504120,,,,
FSM,Oceania,micronesia (country),Micronesia (country),11/3/2022,22203,0,0,55,0,0,194459.528,0,0,481.704,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,,,,,67.88,0.62,114178,,,,
MDA,Europe,moldova,Moldova,11/3/2022,593816,,,11894,0,1,181429.047,,,3633.983,0,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993,,,,
MCO,Europe,monaco,Monaco,11/3/2022,14988,25,7.429,65,0,0,410731.413,685.1,203.573,1781.261,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19347.5,,,,,,,5.46,,,,13.8,86.75,,36491,,,,
MNG,Asia,mongolia,Mongolia,11/3/2022,985282,170,95.429,2131,0,0,289927.562,50.024,28.081,627.065,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737,3398373,,,,
MNE,Europe,montenegro,Montenegro,11/3/2022,282973,62,60.571,2787,0,0.286,451253.584,98.871,96.593,4444.395,0,0.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829,627082,,,,
MSR,North America,montserrat,Montserrat,11/3/2022,1403,0,0,8,0,0,317924.315,0,0,1812.826,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.16,,4413,,,,
MAR,Africa,morocco,Morocco,11/3/2022,1265788,56,37.857,16281,0,0,33792.216,1.495,1.011,434.647,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,37457976,,,,
MOZ,Africa,mozambique,Mozambique,11/3/2022,230475,0,6.286,2224,0,0,6990.548,0,0.191,67.456,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520,,,,
MMR,Asia,myanmar,Myanmar,11/3/2022,632014,85,111.286,19484,1,0.571,11665.227,1.569,2.054,359.621,0.018,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312,,,,
NAM,Africa,namibia,Namibia,11/3/2022,169946,0,5.429,4080,0,0,66203.51,0,2.115,1589.389,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,2567024,,,,
NRU,Oceania,nauru,Nauru,11/3/2022,4611,0,0,1,0,0,363328.343,0,0,78.796,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,12691,,,,
NPL,Asia,nepal,Nepal,11/3/2022,1000676,45,21.429,12019,0,0,32757.94,1.473,0.701,393.452,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,,,,
NLD,Europe,netherlands,Netherlands,11/3/2022,8528467,,,22914,,,485564.637,,,1304.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020,,,,
NCL,Oceania,new caledonia,New Caledonia,11/3/2022,74440,34,4.857,314,0,0,256725.951,117.258,16.751,1082.912,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,289959,,,,
NZL,Oceania,new zealand,New Zealand,11/3/2022,1851774,,,2106,,,357120.693,,,406.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,5185289,,,,
NIC,North America,nicaragua,Nicaragua,11/3/2022,15186,0,2.857,245,0,0,2185.541,0,0.411,35.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,6948395,,,,
