iso_code,continent,location,LOC,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BGD,Asia,bangladesh,Bangladesh,11/3/2022,2035657,140,113,29425,1,1.143,11891.467,0.818,0.66,171.889,0.006,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,171186368,,,,
BRB,North America,barbados,Barbados,11/3/2022,103424,,,560,0,0,367212.742,,,1988.312,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,
BLR,Europe,belarus,Belarus,11/3/2022,994037,0,0,7118,0,0,104251.871,0,0,746.516,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,9534956,,,,
BEL,Europe,belgium,Belgium,11/3/2022,4617315,5076,725.143,32941,39,5.571,396134.652,435.487,62.212,2826.117,3.346,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,
BLZ,North America,belize,Belize,11/3/2022,68957,0,2,687,0,0,170144.466,0,4.935,1695.103,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,405285,,,,
BEN,Africa,benin,Benin,11/3/2022,27782,0,0,163,0,0,2080.602,0,0,12.207,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,13352864,,,,
BMU,North America,bermuda,Bermuda,11/3/2022,18428,0,12.571,149,0,0.143,287009.205,0,195.795,2320.619,0,2.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,64207,,,,
BTN,Asia,bhutan,Bhutan,11/3/2022,62380,0,7,21,0,0,79723.231,0,8.946,26.839,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,782457,,,,
BOL,South America,bolivia,Bolivia,11/3/2022,1109512,21,29,22239,0,0,90764.206,1.718,2.372,1819.273,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,
BES,North America,bonaire sint eustatius and saba,Bonaire Sint Eustatius and Saba,11/3/2022,11467,0,2.429,38,0,0,423887.328,0,89.774,1404.702,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.79,,27052,,,,
