,ADMIN,id,index
0,Aruba,ABW,1.3
1,Afghanistan,AFG,1.3
2,Angola,AGO,1.3
3,Anguilla,AIA,1.3
4,Albania,ALB,1.3
5,Aland,ALA,1.3
6,Andorra,AND,1.3
7,United Arab Emirates,ARE,1.3
8,Argentina,ARG,1.3
9,Armenia,ARM,1.3
10,American Samoa,ASM,1.3
12,Ashmore and Cartier Islands,-99,1.3
13,French Southern and Antarctic Lands,ATF,1.3
14,Antigua and Barbuda,ATG,1.3
15,Australia,AUS,1.3
16,Austria,AUT,1.3
17,Azerbaijan,AZE,1.3
18,Burundi,BDI,1.3
19,Belgium,BEL,1.3
20,Benin,BEN,1.3
21,Burkina Faso,BFA,1.3
22,Bangladesh,BGD,1.3
23,Bulgaria,BGR,1.3
24,Bahrain,BHR,1.3
25,The Bahamas,BHS,1.3
26,Bosnia and Herzegovina,BIH,1.3
27,Bajo Nuevo Bank (Petrel Is.),-99,1.3
28,Saint Barthelemy,BLM,1.3
29,Belarus,BLR,1.3
30,Belize,BLZ,1.3
31,Bermuda,BMU,1.3
32,Bolivia,BOL,1.3
33,Brazil,BRA,1.3
34,Barbados,BRB,1.3
35,Brunei,BRN,1.3
36,Bhutan,BTN,1.3
37,Botswana,BWA,1.3
38,Central African Republic,CAF,1.3
39,Canada,CAN,1.3
40,Switzerland,CHE,1.3
41,Chile,CHL,1.3
42,China,CHN,1.3
43,Ivory Coast,CIV,1.3
44,Clipperton Island,-99,1.3
45,Cameroon,CMR,1.3
46,Cyprus No Mans Area,-99,1.3
47,Democratic Republic of the Congo,COD,1.3
48,Republic of Congo,COG,1.3
49,Cook Islands,COK,1.3
50,Colombia,COL,1.3
51,Comoros,COM,1.3
52,Cape Verde,CPV,1.3
53,Costa Rica,CRI,1.3
54,Coral Sea Islands,-99,1.3
55,Cuba,CUB,1.3
56,Cura̤ao,CUW,1.3
57,Cayman Islands,CYM,1.3
58,Northern Cyprus,-99,1.3
59,Cyprus,CYP,1.3
60,Czech Republic,CZE,1.3
61,Germany,DEU,1.3
62,Djibouti,DJI,1.3
63,Dominica,DMA,1.3
64,Denmark,DNK,1.3
65,Dominican Republic,DOM,1.3
