male,female,total
230.364,217.802,448.166
219.996,206.02,426.016
218.795,205.043,423.838
233.504,218.866,452.37
263.261,245.5,508.761
312.066,294.55,606.616
315.827,304.547,620.374
314.619,308.423,623.042
284.438,281.246,565.684
305.305,307.276,612.581
357.25,356.193,713.443
346.838,346.719,693.557
284.67,297.693,582.363
213.955,237.002,450.957
187.337,219.951,407.288
168.533,214.616,383.149
107.116,153.112,260.228
52.214,90.259,142.473
19.835,47.474,67.309
3.562,13.468,17.03
0.206,0.949,1.155
