country name,pyramid distance,median age,GDP per capita,population density,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people,,Entity,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people
guinea-bissau,0.030671322,19.4,1548.675,66.191,84.347,4054.597,,eritrea,28.599,2701.125
guyana,0.076817291,26.3,7435.047,3.952,1551.253,80099.553,,estonia,1872.187,424176.796
haiti,0.061553372,24.3,1653.173,398.448,72.173,2649.094,,eswatini,1189.898,59662.956
honduras,0.067882657,24.9,4541.795,82.805,1081.984,41863.088,,ethiopia,63.694,3987.055
hong kong,0.133256123,44.8,56054.92,7039.714,1132.957,156661.768,,europe,2385.047,246149.886
hungary,0.127632199,43.4,26777.561,108.043,4741.876,193644.969,,european union,2359.966,290404.655
iceland,0.110613919,37.3,46482.958,3.404,276.579,495219.528,,faeroe islands,570.811,706541.904
india,0.084039402,28.2,6426.674,450.419,374.314,30883.298,,falkland islands,,36281.179
indonesia,0.086353903,29.3,11188.744,145.725,562.701,21813.482,,fiji,923.691,71404.443
iran,0.095474883,32.4,19082.62,49.831,1652.288,84486.802,,finland,600.898,165939.455
iraq,0.044838947,20,15663.986,88.125,611.496,56372.161,,france,2122.245,394571.92
ireland,0.108480013,38.7,67335.293,69.874,1373.296,297882.721,,french polynesia,2293.529,256510.721
israel,0.07840704,30.6,33132.32,402.606,1136.476,428643.203,,gabon,132.963,20882.655
italy,0.135798704,47.9,35220.084,205.859,2657.093,250235.197,,gambia,146.767,4821.192
jamaica,0.091577218,31.4,8193.571,266.879,975.63,43366.957,,georgia,4212.552,414774.411
japan,0.138588158,48.2,39002.223,347.778,226.345,54627.787,,germany,1565.784,267921.059
jordan,0.064461498,23.2,8337.49,109.285,1367.998,164983.189,,ghana,45.537,5074.794
kazakhstan,0.079311697,30.6,24055.588,6.681,1000.95,73388.106,,gibraltar,2997.833,511590.633
